timeStamp,Cload,Kp,Ki,Kd,Kcpu,Imax,Imin,Err,PWR_SUM,MAX_Err,Inlet
0.0,360,0.00,0.00.1,0.00.2,0.00.3,0.0,0.1,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
363.0,360,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
726.0,360,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
1089.0,360,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
1452.0,360,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
1815.0,360,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
2178.0,360,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
2541.0,60,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:50661,MAX_Err:0,Inlet:25
2604.0,60,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:50661,MAX_Err:0,Inlet:25
2667.0,60,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:50661,MAX_Err:0,Inlet:25
2730.0,60,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:50661,MAX_Err:0,Inlet:25
